	Emociones	GSR_Avg_Resistance	GSR_Num_Minima	GSR_Avg_Rise_Time	GSR_Spectral_Power_1	GSR_Spectral_Power_2	GSR_Spectral_Power_3	GSR_Spectral_Power_4	GSR_Spectral_Power_5	GSR_Spectral_Power_6	GSR_Spectral_Power_7	GSR_Spectral_Power_8	GSR_Spectral_Power_9	GSR_Spectral_Power_10	BVP_Avg_HR	BVP_Std_HR	BVP_Energy_Ratio	BVP_Spectral_Power	RP_Avg_Respiration	RP_Std_Respiration	RP_Breathing_Rate	ST_Avg_Skin_Temperature	ST_Avg_Derivative	ST_Spectral_Power_0-0.1Hz	zEMG_Energy	zEMG_Mean	zEMG_Variance	tEMG_Energy	tEMG_Mean	tEMG_Variance	hEOG_Energy	hEOG_Mean	hEOG_Variance	vEOG_Energy	vEOG_Mean	vEOG_Variance	Spectral_Power_T7	Spectral_Power_T8	Spectral_Power_Asymmetry
Video 1	Positiva	-18005.683434555966	13	410.46153846153845	33405.44477281495	12415.736592149515	10698.074852338883	5155.897038310723	3874.836546396882	3503.5874858690145	3068.908741521481	3010.240759521195	2483.330702535576	2382.5287587414696	59.88351259655108	2.618971329451722	0.14291075232756537	14814.62047642604	1236.9113365895369	2111.553903848365	12.441276526810304	-0.07544082242926446	-3.829607785694831e-05	0.675842817137041	428828014.5164151	-163.95993563106475	38807.70545706285	660211037.0718763	-190.8053545860299	64728.585820594155	189957356.3444575	136.20883801105526	10546.012181816826	227945595.5597437	-145.48994161102112	13750.813464737308	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 2	Neutra	-8794.65074591771	15	350.11764705882354	16293.422094705764	9325.02149580515	5975.311454187122	2949.5664994042945	1935.6720585881917	1845.1868644641816	1426.6378941055839	974.8377021338855	938.945941161465	900.4333279905966	59.74082002666314	3.8284760652810172	0.17249943319807043	9591.928697356825	-820.3666721676116	950.6333918012812	12.337349397590362	-0.05450558213928614	-1.2484521381364522e-05	0.35377408768092466	105347616.36344892	-113.78492685589735	3190.799299602883	125547489.64229006	67.8262236709	14631.755594905651	141253695.93800914	126.37164053970328	5668.33590878827	299855929.181273	-190.65284835741733	9585.304094158419	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 3	Neutra	-1331.4086299384414	18	336.22222222222223	3182.7532010915966	2389.6733590701606	980.8412679191769	448.7341939752417	360.34444293409	279.30463608527185	230.2972982580304	229.2240057173661	217.93636843253728	208.44983935860395	59.86719160780036	2.66118898128273	0.21800205361438346	5102.319174570126	-2707.5409530304764	845.7433223499457	14.59844764771107	-0.13206433085828467	-3.921518372551396e-05	0.900766602610535	126497180.63653919	-103.6452109867657	8635.302077213966	192962591.58350295	-102.75139466189776	19001.371419468593	61248486.50628275	56.412646606260644	6200.0407701386	28229156.83960063	40.914513478123716	2650.3219556598046	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 4	Neutra	3491.2838242477574	15	346.75	6450.93558922581	4203.90793724171	1904.7155576251434	1479.9929382705484	1134.924769316493	914.0804321071464	909.3306589670632	664.3787713008318	367.87368737168924	247.73105451216085	59.81578108593031	3.2919297703820543	0.23308558119847025	13261.823555848476	252.17054259241422	1324.3103926442236	14.29945694336695	-0.017212095600611037	-7.735807727103884e-06	0.16680054711637116	15130153.12571504	39.75314824503134	737.4189946997134	661525329.2491184	248.04818309880923	39808.699542923496	41002066.310344815	44.03453873335124	4341.913183826653	100328122.03869587	-105.0758819798547	4327.950269828421	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 5	Neutra	-3736.386023678411	23	258.8333333333333	6978.202980048177	3847.45225119105	1573.08532850057	1374.493839498325	1294.3475476261042	1225.9652527719093	1053.9855429748857	868.3060584912193	835.9656337826764	687.8600061705894	59.72194389849542	4.020158262588247	0.02488166181108127	7342.591757030895	-1270.623130916524	902.8638840538232	14.355140186915888	-0.06058960343622862	-3.622808965267289e-05	0.683864764280085	49675373.78815299	-50.922704812410366	5016.463580077241	2836721935.4712667	-414.9610659390139	262354.1788698412	1411043561.8884306	-414.97742811763584	43946.240569605005	380913877.7142761	-194.29018270573593	20602.102740304756	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 6	Neutra	-848.9091840702441	17	375.7647058823529	4486.181129124974	1985.4454792840922	1752.8727623552593	1198.5716319803696	1061.3705924430724	899.5096983885957	695.488902547396	530.2190989759316	324.99326303670716	315.57861855733825	59.809093534975275	3.344833827782366	0.3113221843241004	5930.733891590392	-896.8176166132454	644.7885104520115	15.01955671447197	-0.09303863612607347	-2.5428595697012955e-05	0.6201379866261716	37645538.370829225	73.84381461228114	313.87081845025614	626046975.6498582	225.4677589439857	45066.09354470845	83664329.8897753	32.02416340713401	11790.679963247096	141150527.9328915	66.35391481045616	17219.48150845839	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 7	Neutra	-8999.583678549954	14	408.6666666666667	16682.119115598172	5281.211668110105	4710.258120012538	2226.4354427692265	1789.7829080438778	1376.1166913640643	1004.0804717775165	892.6339706029339	828.212383795312	755.781933215232	59.89841925437248	2.4291504167524014	0.08882254442585119	5465.960831865335	-1034.8142452470097	660.7687991273984	13.945196434466821	-0.1131528085067446	-3.507920731696366e-05	0.8240303765390797	6901575.03076582	16.81089399134181	774.6204104247691	669033046.1114194	-244.0618767007137	42920.48019907983	31653871.768840123	-1.5254931218222967	4846.6115608149485	33519924.03280581	-32.035274178515216	4108.533492744522	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 8	Neutra	-517.9233503098429	16	357.1764705882353	3683.7955110919593	1984.3653013911332	1830.8541243317857	805.1079161423436	762.6790279807612	699.2331377708906	688.3803992968477	643.8385800354955	472.9474221853234	393.6545912955982	59.728403959804524	3.953752900776009	0.019957643509954163	18791.03859304698	-595.6145981755576	493.1312645584882	14.65903175429464	-0.058140952218229354	-4.135976408550844e-06	0.2968426414389188	255572251.34391385	-190.24547414841865	2956.82061750076	10526897494.503925	981.1709955226063	649879.6868748232	41201213.79124485	-18.452875485551235	5970.951832277495	292901951.8020979	196.19995724835368	6374.135568957713	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 9	Positiva	-9165.069657820386	11	440.3076923076923	17116.4233781856	5468.787462711904	4656.387314529964	3418.4872084819453	1769.3691270996162	1587.4342733225828	1583.1278347688346	1102.2090639269775	796.3050430833833	740.6533991506477	59.91998769878671	2.172788731123056	0.19123447439926466	15715.209793497374	-1674.6617867371867	911.8256944980972	15.312883435582823	0.11483906140695124	2.650088587700748e-05	0.6696642422005376	182144475.19114783	-149.24917849908735	5626.716294422899	159260574.78418228	119.87765073902743	10025.882980770659	111058629.47447948	94.42107342742806	8097.3185941724505	101085552.03710058	79.1525469522946	9219.793434295156	3762695638.2557735	-658.4868682626137	142788.37126438622
Video 10	Negativa	5519.865947220945	21	301.3333333333333	10275.785336945562	2594.777684479918	2245.267132626783	1475.7498701163627	1056.0010688564314	699.5154503304198	646.1910296641063	445.34054399558374	429.8872085116503	383.28069306981547	59.44077478740356	5.665836528201264	0.11872989233103604	13762.633906679433	-1898.6677779317606	599.5896590998292	15.317582080392759	0.34665379899648346	9.512745739665745e-05	2.3496414100738945	7439955.447694786	-21.916037361617146	659.3863639154862	630558514.4742877	43.443312612189224	94705.58828203201	71284295.35262173	-67.67586683323147	6339.752684495373	297913476.80689406	-174.55869247183193	15165.518520835372	3762695638.2557735	-658.4868682626137	142788.37126438622
