	Emociones	GSR_Avg_Resistance	GSR_Num_Minima	GSR_Avg_Rise_Time	GSR_Spectral_Power_1	GSR_Spectral_Power_2	GSR_Spectral_Power_3	GSR_Spectral_Power_4	GSR_Spectral_Power_5	GSR_Spectral_Power_6	GSR_Spectral_Power_7	GSR_Spectral_Power_8	GSR_Spectral_Power_9	GSR_Spectral_Power_10	BVP_Avg_HR	BVP_Std_HR	BVP_Energy_Ratio	BVP_Spectral_Power	RP_Avg_Respiration	RP_Std_Respiration	RP_Breathing_Rate	ST_Avg_Skin_Temperature	ST_Avg_Derivative	ST_Spectral_Power_0-0.1Hz	zEMG_Energy	zEMG_Mean	zEMG_Variance	tEMG_Energy	tEMG_Mean	tEMG_Variance	hEOG_Energy	hEOG_Mean	hEOG_Variance	vEOG_Energy	vEOG_Mean	vEOG_Variance	Spectral_Power_T7	Spectral_Power_T8	Spectral_Power_Asymmetry
Video 1	Neutra	-674.1595272748897	31	214.53333333333333	1232.6232073621973	807.2548540078877	537.9705371145593	396.7826689832979	327.17388049602744	252.78746083433506	247.0757830246432	241.00909573151293	210.90433337124966	166.9632263061517	59.74763178789931	3.7811905082055843	0.1424932893130708	4208.334074356431	-819.1000777322959	4066.8922437883507	10.94017094017094	-0.09477360163730016	-3.630468180838542e-05	0.6559350581191703	766940634.1128076	-316.47444108517305	17328.70664975496	310552774.7363242	186.51995732665324	12782.728119403315	142173392.15895492	-107.96248050643713	10123.115082148857	3825970180.3018503	675.3741015353701	129955.94128133472	52868284.38433534	74.9190941052029	2485.8248630169255
Video 2	Positiva	1735.8361033493647	35	195.75757575757575	3202.0436243904187	995.0039497775272	705.2773511368451	521.0647442693837	513.2562187770596	388.5926153735242	264.51606547017116	207.34292071313232	192.45404346435924	184.521724074079	58.862445321145444	8.042704525975832	0.033222133636924514	2089.725705294862	-5686.80905792962	3522.9992561374925	13.450087565674256	0.1942260648827063	5.3767693311153356e-05	1.2974348827829572	13681497.092741221	-41.1548910212411	402.09251438351026	917065916.9394357	-349.26973319931335	18492.564766749867	297992456.90817446	187.09436649813927	10644.052330446475	5662958399.410876	-785.2604305474123	250853.55612624722	52868284.38433534	74.9190941052029	2485.8248630169255
Video 3	Neutra	6349.812806984382	27	242.92307692307693	11745.86832241961	2125.64175370415	1180.4306279948123	688.893380198118	666.5915783145662	639.9802132124546	633.686849576135	472.2431948671368	409.8432298869655	379.9070596943185	59.54851365646944	5.130842594840232	0.04007647281766889	4137.674470380431	1937.267818625928	4149.637252529751	11.89877775865037	-0.05932889655317279	3.3700548514113556e-06	0.1951751478190131	83487577.83431013	-97.59184632943666	3264.9825462968724	10854773551.644255	1149.9880951261323	340329.7020921057	303758835.7634583	-199.4692814005694	6743.690177580037	456829343.8164441	109.33329886049461	58026.215026281156	52868284.38433534	74.9190941052029	2485.8248630169255
Video 4	Neutra	8631.950849587727	18	392.5	16065.772633964922	4263.669810893336	1786.2112266466038	1392.6679084851557	1072.7622539133129	890.0422963732498	824.0079250325454	473.78035111480926	314.15285369746795	284.9430536359824	59.57406037547046	4.906930914535206	0.08058477053829184	8079.8126723051955	32.88593035027011	2710.838977809588	13.493052228078582	0.06476111860482729	1.5165246831350557e-05	0.4103941239163899	2210647.791887443	-5.880455969590646	304.06113708226746	12235260.14849596	-18.345985172950446	1537.6987478402484	14574900.692551784	11.114610666961996	2109.1401681642237	41709155.6424457	-41.61715847271123	4657.282286473062	52868284.38433534	74.9190941052029	2485.8248630169255
Video 5	Positiva	1366.02438254009	32	220.55172413793105	2880.766372191912	2649.457939362661	1232.9544932382669	920.9766916047673	916.3172336209175	783.1416660453434	687.5145230311072	596.6355904109448	444.5615986038607	398.0434468687791	59.42848389106658	5.690862165674459	0.31070518183868695	5711.472680765425	-6.164860123900674	2052.569863042661	12.254667304930589	-0.08564320393912178	-2.4969042762730136e-05	0.6081032787879612	72029535.30867013	94.06884138817854	2184.9892484932648	88897977.81110254	86.14296946770347	6197.338843624321	24603113.636935666	-53.23239053402922	935.1719174161234	87384791.46538836	-21.045648919324922	12943.23131496347	52868284.38433534	74.9190941052029	2485.8248630169255
Video 6	Neutra	2933.2735958431904	28	222.28571428571428	5412.677580848606	973.6896343370244	531.6064042560497	442.62086567553285	319.3026616657236	303.4788447031334	252.02873545234831	206.38228412206038	200.83048174522736	196.26488817010457	59.821689995378335	3.2073954640307902	0.14696835604462388	8041.320004394046	801.5794347460323	4834.019255459567	14.488288005030654	-0.18870698732632624	-5.606545798257074e-05	1.3045935974632694	115499044.73284309	116.91522514648457	4023.6985010122485	73543946.22446716	31.885190203401105	10249.257780568416	58637207.708331466	83.30366232890307	2042.9152390889494	936425766.7227528	314.9647692041647	44244.76871941242	52868284.38433534	74.9190941052029	2485.8248630169255
Video 7	Neutra	2381.5558997350054	16	440.0	4524.417338618032	3761.069522893001	1380.7666550062656	495.8566376034735	417.79199055413295	393.9018567630459	313.7843975024918	311.69198012009736	294.51806937207255	291.22631450751595	59.619312695794804	4.655396344303043	0.2778291810162947	5446.447811609686	-70.88151827060028	2573.1904281857824	15.51033089948734	0.10604704785248924	3.599831318553093e-05	0.7063123400173001	37160642.04894375	-63.62170861514147	1644.7785067600948	19695033.88922945	41.54046973572717	1291.3982419705292	65059805.881973416	79.4257254456054	3657.8234208298472	48958705.721901715	32.83672413760542	6421.551282270745	52868284.38433534	74.9190941052029	2485.8248630169255
Video 8	Neutra	-3537.25321197874	32	225.0	6519.72152458891	1389.0127372260963	773.6991613327489	707.8107584432644	543.6065196075092	505.4467042997944	407.6953994265915	312.53155130456685	254.29205470337493	216.76508059613087	59.09499760767391	7.197237912277527	0.16448941051398824	8828.37186836413	-822.6172855409849	3757.265716623027	13.320719016083256	0.14482167349834557	2.910501917127989e-05	0.8079181057441983	1035404248.7650497	-347.14647482933896	38099.04449350334	47714250.267277054	-21.741448414913876	6836.4776602942275	166805793.28651804	148.32591695448633	3551.780399824979	833051905.2583989	303.0979913837319	35743.72545897545	52868284.38433534	74.9190941052029	2485.8248630169255
Video 9	Neutra	-29.33466912525696	29	223.17241379310346	963.1198032731751	745.1258721255376	715.261822121771	491.1600298285375	479.09579536023455	416.7815368693423	259.3111164990332	259.0356269691469	209.01560583537437	166.76436978769453	58.595986010740056	8.855552842110619	0.0069250311866731395	1436.24482590893	-1097.4633089832228	3199.3177418869964	13.204951856946355	0.002866691204037227	1.3173850782789844e-05	0.22433648598359124	77151936.47273198	-95.84260591879273	2632.8126101698726	124341920.55781294	107.72453000404617	7442.901211052723	228564948.02793717	-144.804740671203	14044.5999510723	637548412.8866355	14.231624860102873	97461.12704358327	52868284.38433534	74.9190941052029	2485.8248630169255
Video 10	Neutra	1387.0363570646784	30	220.42857142857142	2531.348705163539	748.053904032393	511.90951726931985	492.18400857434335	426.26175839054076	399.2362716635989	291.27873570393336	248.125095563289	221.64276978354698	215.3904706213171	59.332528518953495	6.190738290801323	0.06285026768754734	7409.3468806059755	292.0551627148677	3627.298824053976	13.482285349505267	0.12926396846108426	1.5931168388490045e-05	0.6299590423499433	1727161172.8062894	-442.83860423371016	68471.35614051856	30320834.56942193	14.841831682970296	4424.455720012199	120483538.57102388	128.87899842209407	1846.628179171288	327051255.00006896	-38.3267760338146	48630.821566070255	52868284.38433534	74.9190941052029	2485.8248630169255
